gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,xad,exchg,costat
001690,09/30/2018,2018,INDL,C,D,STD,AAPL,APPLE INC,USD,,14,A
012141,06/30/2018,2018,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600.0000,14,A
012540,11/30/2018,2018,INDL,C,D,STD,ADBE,ADOBE INC,USD,173.6000,14,A
018872,12/31/2018,2018,INDL,C,D,STD,TWTR,TWITTER INC,USD,78.1000,11,A
023238,12/31/2018,2018,INDL,C,D,STD,ETSY,ETSY INC,USD,129.1000,14,A
023650,12/31/2018,2018,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,131.4340,11,A
024616,12/31/2018,2018,INDL,C,D,STD,PYPL,PAYPAL HOLDINGS INC,USD,484.0000,14,A
033175,12/31/2018,2018,INDL,C,D,STD,SPOT,SPOTIFY TECHNOLOGY SA,USD,,11,A
035005,01/31/2019,2018,INDL,C,D,STD,ZM,ZOOM VIDEO COMUNICATIONS INC,USD,36.1000,14,A
064768,12/31/2018,2018,INDL,C,D,STD,AMZN,AMAZON.COM INC,USD,8200.0000,14,A
114524,12/31/2018,2018,INDL,C,D,STD,EBAY,EBAY INC,USD,1400.0000,14,A
147579,12/31/2018,2018,INDL,C,D,STD,NFLX,NETFLIX INC,USD,1808.0000,14,A
160329,12/31/2018,2018,INDL,C,D,STD,GOOGL,ALPHABET INC,USD,6400.0000,14,A
170617,12/31/2018,2018,INDL,C,D,STD,FB,FACEBOOK INC,USD,1100.0000,14,A
