gvkey,datadate,fyear,tic,conm,curcd,revt,sale,xad,exchg
001690,09/30/2015,2015,AAPL,APPLE INC,USD,233715.0000,233715.0000,1800.0000,14
02184,01/31/2019,2018,BBY,BEST BUY CO INC,USD,42879.0000,42879.0000,777.0000,11
002968,12/31/2018,2018,JPM,JPMORGAN CHASE & CO,USD,131412.0000,131412.0000,3290.0000,11
003382,12/31/2018,2018,SSTK,SHUTTERSTOCK INC,USD,623.2500,623.2500,91.5000,11
003813,01/31/2019,2018,TGT,TARGET CORP,USD,75356.0000,75356.0000,1494.0000,11
03980,09/30/2018,2018,DIS,DISNEY (WALT) CO,USD,59434.0000,59434.0000,2800.0000,11
005680,01/31/2019,2018,HD,HOME DEPOT INC,USD,108203.0000,108203.0000,1156.0000,11
007866,12/31/2018,2018,NYT,NEW YORK TIMES CO  -CL A,USD,1748.5980,1748.5980,156.3000,11
008007,12/31/2018,2018,WFC,WELLS FARGO & CO,USD,100858.0000,100858.0000,857.0000,11
009899,12/31/2018,2018,T,AT&T INC,USD,170805.0000,170805.0000,5100.0000,11
010920,12/31/2018,2018,UPS,UNITED PARCEL SERVICE INC,USD,71861.0000,71861.0000,,11
011259,01/31/2019,2018,WMT,WALMART INC,USD,511729.0000,511729.0000,3500.0000,11
012141,06/30/2018,2018,MSFT,MICROSOFT CORP,USD,110360.0000,110360.0000,1600.0000,14
012485,12/31/2018,2018,ATUS,ALTICE USA INC,USD,9566.6080,9566.6080,240.2730,11
012540,11/30/2018,2018,ADBE,ADOBE INC,USD,9030.0080,9030.0080,173.6000,14
014140,12/31/2018,2018,SAN,BANCO SANTANDER SA,USD,67686.3460,67686.3460,739.6040,11
015181,12/31/2018,2018,BBVA,BBVA,USD,46008.8550,46008.8550,384.6860,11
015617,12/31/2018,2018,ING,ING GROEP NV,USD,20645.9380,20645.9380,460.2490,11
019151,12/31/2018,2018,TIIAY,TELECOM ITALIA SPA,USD,22103.3930,22103.3930,270.1960,19
020530,03/31/2019,2018,BABA,ALIBABA GROUP HLDG,USD,56149.5530,56149.5530,3279.9250,11
020779,07/31/2018,2018,CSCO,CISCO SYSTEMS INC,USD,49330.0000,49330.0000,166.0000,14
021451,12/31/2016,2016,CNVAF,CNOVA NV,USD,1958.1500,1958.1500,,19
023238,12/31/2018,2018,ETSY,ETSY INC,USD,603.6930,603.6930,129.1000,14
023650,12/31/2018,2018,SHOP,SHOPIFY INC,USD,1073.2290,1073.2290,131.4340,11
023667,12/31/2018,2018,ADRNY,KONINKLIJKE AHOLD DELHAIZE,USD,71889.2650,71889.2650,,19
024616,12/31/2018,2018,PYPL,PAYPAL HOLDINGS INC,USD,15451.0000,15451.0000,484.0000,14
026321,12/31/2018,2018,INST,INSTRUCTURE INC,USD,209.5440,209.5440,11.3870,11
030736,01/31/2019,2018,OKTA,OKTA INC,USD,399.2540,399.2540,10.0000,14
033152,12/31/2018,2018,DBX,DROPBOX INC,USD,1391.7000,1391.7000,100.9000,14
033175,12/31/2017,2017,SPOT,SPOTIFY TECHNOLOGY SA,USD,4916.9980,4916.9980,144.2640,11
035005,01/31/2019,2018,ZM,ZOOM VIDEO COMUNICATIONS INC,USD,330.5170,330.5170,36.1000,14
063590,12/31/2018,2018,BKRIY,BANK OF IRELAND GROUP PLC,USD,3685.4260,3685.4260,,19
064768,12/31/2018,2018,AMZN,AMAZON.COM INC,USD,232887.0000,232887.0000,8200.0000,14
114524,12/31/2018,2018,EBAY,EBAY INC,USD,10746.0000,10746.0000,1400.0000,14
147579,12/31/2018,2018,NFLX,NETFLIX INC,USD,15794.3410,15794.3410,1808.0000,14
157855,01/31/2019,2018,CRM,SALESFORCE.COM INC,USD,13282.0000,13282.0000,482.0000,11
160329,12/31/2018,2018,GOOGL,ALPHABET INC,USD,136819.0000,136819.0000,6400.0000,14
170617,12/31/2018,2018,FB,FACEBOOK INC,USD,55838.0000,55838.0000,1100.0000,14
187118,12/31/2018,2018,YNDX,YANDEX N.V.,USD,1838.3130,1838.3130,221.3630,14
206059,03/31/2019,2018,NPSNY,NASPERS LTD,USD,3291.0000,3291.0000,318.0000,19
221616,12/31/2018,2018,DTEGY,DEUTSCHE TELEKOM,USD,86618.3720,86618.3720,,19
239356,12/31/2018,2018,PRISY,PROMOTORA DE INFORMACIONES,USD,1465.7990,1465.7990,,19
024578,12/31/2018,2018,SWDBY,SWEDBANK AB,USD,5969.6100,5969.6100,33.4200,19
187039,12/31/2018,2018,Z,ZILLOW GROUP INC,USD,1333.5540,1333.5540,177.3000,14
