Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
google.com,5/10/18,104300,7.7,1,504400
google.com,5/11/18,58740,4.09,1,496200
google.com,5/12/18,50300,3.51,2,477000
google.com,5/13/18,48720,3.46,2,478800
google.com,5/14/18,60690,4.34,1,506400
google.com,5/15/18,60430,4.28,1,504300
google.com,5/16/18,60780,4.24,1,505600
google.com,5/17/18,60920,4.2,1,503300
google.com,5/18/18,59330,4.06,1,498200
google.com,5/19/18,50830,3.49,2,476700
google.com,5/20/18,49150,3.45,2,478500
google.com,5/21/18,60260,4.27,1,503500
google.com,5/22/18,58260,4.02,1,503500
google.com,5/23/18,59370,4.09,1,503100
google.com,5/24/18,58810,4.05,1,500900
google.com,5/25/18,56660,3.88,1,494300
google.com,5/26/18,49950,3.45,2,475500
google.com,5/27/18,48100,3.41,2,475800
google.com,5/28/18,56630,3.97,1,500700
google.com,5/29/18,61870,4.4,1,504900
google.com,5/30/18,61880,4.37,1,503800
google.com,5/31/18,62190,4.41,1,502400
google.com,6/1/18,70490,5.15,1,496500
google.com,6/2/18,52830,3.7,2,476800
google.com,6/3/18,49950,3.67,2,479100
google.com,6/4/18,66940,4.91,1,507500
google.com,6/5/18,67460,4.93,1,507800
google.com,6/6/18,72540,5.48,1,507600
google.com,6/7/18,118700,9.16,1,503200
google.com,6/8/18,116200,8.84,1,498300
